Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
06/22/2018,11.48,2.54,39.6,0.05,28.2,34.09,0.42
06/21/2018,22.64,0.17,2,0,0,33.581,5.03
06/20/2018,22.59,0.17,2,0,0,33.728,5.04
06/24/2018,21.27,0.17,1.5,0,0,33.705,5.39
06/19/2018,19.18,0.17,1,0,0,33.7,5.84
06/18/2018,17.18,0.2,1,0,0,33.755,5.84
06/16/2018,14.82,0.3,2.6,0,0.1,33.762,5.47
06/17/2018,12.77,0.86,10.5,0.18,8.8,33.772,4.09
06/17/2018,11.23,2,29.8,0.07,24.9,33.805,1.8
06/15/2018,10.55,2.31,37.2,0.05,28.1,33.853,1.25
06/15/2018,23,0.2,2,0,0,33.727,5.01
06/14/2018,22.61,0.2,1,0,0,33.726,5.02
06/14/2018,21.09,0.2,1,0,0,33.641,5.41
06/13/2018,16.11,0.35,2,0,0,33.446,6.04
06/13/2018,14.04,0.33,3.3,0,0,33.479,5.61
06/12/2018,25.18,0.15,0,0,0,34.437,4.8
06/09/2018,25.18,0.17,0,0,0,34.437,4.8
06/10/2018,24.92,0.13,0,0.02,0.1,34.421,4.85
06/11/2018,23.32,0.22,0.5,0.01,0.1,34.371,4.9
06/11/2018,21.35,0.35,1,0,0,34.342,4.96
10/28/2018,20.17,0.39,3.4,0,0,34.336,4.45
10/27/2018,18.39,0.44,7,0,0.1,34.326,3.68
10/26/2018,25.42,0.2,0,0.03,0,34.552,4.78
10/25/2018,25.42,0.2,0,0.03,0,34.552,4.78
10/29/2018,25.41,0.25,0,0.03,0,34.545,4.78
10/24/2018,25.41,0.26,0,0.03,0,34.544,4.78
10/23/2018,24.61,0.28,0.2,0.03,0,34.441,5.03
10/21/2018,22.95,0.32,0.9,0.03,0,34.329,5.21
10/22/2018,18.04,0.69,4.1,0.44,3.6,34.168,4.39
10/20/2018,16.74,1.02,8,0.3,9.3,34.15,3.55
10/19/2018,16.25,1.82,16.6,0.25,17.9,34.17,1.75
10/18/2018,14.8,2.23,23.5,0.09,23,34.209,1.35
10/14/2018,14.11,2.21,24.5,0.12,23,34.253,1.07
10/15/2018,13.43,2.36,27.3,0.12,24.4,34.303,0.83
10/16/2018,25.33,0.31,2,0.09,0,34.403,4.79
10/17/2018,25.33,0.31,2,0.09,0,34.403,4.79
02/11/2019,25.27,0.25,1.1,0.08,0,34.403,4.8
02/10/2019,25.26,0.24,1,0.08,0,34.403,4.8
02/09/2019,24.94,0.25,1,0.08,0,34.31,4.86
02/12/2019,24.59,0.26,1,0.08,0,34.212,4.92
02/07/2019,17.44,0.46,6,0.1,0,34.133,4.28
02/08/2019,17.17,0.46,6.1,0.1,0,34.132,4.27
04/17/2019,13.56,0.45,11.8,0.11,1.7,34.119,3.37
04/16/2019,13.31,1.44,24.1,0.1,14.2,34.108,1.3
04/15/2019,12.08,1.36,26.3,0.09,12.9,34.102,1.57
04/09/2019,11.97,2.05,32.6,0.24,21.6,34.1,0.86
04/10/2019,11.41,2.45,37.6,0.14,24.5,34.107,0.38
04/14/2019,25.41,0.13,0,0,0,34.595,4.74
04/08/2019,25.41,0.13,0,0,0,34.595,4.74
04/13/2019,25.42,0.13,0,0,0,34.595,4.76
04/10/2019,25.42,0.13,0,0,0,34.595,4.76
04/11/2019,23.95,0.17,0.9,0,0,34.434,5.08
04/08/2019,21.34,0.23,1.9,0,0,34.249,5.45
04/07/2019,17,0.41,4,0.01,0,33.986,4.91
04/07/2019,16.88,0.42,4.3,0.01,0.1,33.986,4.82
04/06/2019,13.73,0.98,14.9,0.03,8.7,33.982,2.82
04/06/2019,13.2,1.62,23.6,0.02,19.3,33.981,1.63
04/05/2019,12.71,2.08,30.6,0.03,23,33.984,0.85
04/05/2019,12.45,2.28,36,0.12,23.5,33.991,0.41
04/02/2019,11.57,2.43,39.9,0.05,25.1,34.016,0.24
04/02/2019,24.08,0.15,1,0,0,33.979,4.87
04/03/2019,24.08,0.15,1,0,0,33.979,4.87
04/03/2019,24.08,0.17,1,0,0,33.982,4.98
04/04/2019,22.91,0.17,1,0,0,33.908,5.2
04/04/2019,20.81,0.17,1,0,0,33.828,5.51
07/25/2019,17.49,0.13,0,0,0,33.736,5.84
07/24/2019,15.01,0.25,1.9,0,0.3,33.745,5.52
07/22/2019,11.4,1.86,26.7,0.04,23,33.798,2.16
07/23/2019,18.82,0.24,1,0,0,33.53,5.48
07/26/2019,18.68,0.31,1,0,0,33.53,5.3
07/21/2019,16.7,0.39,1.4,0.08,0.2,33.506,5.34
07/18/2019,11.74,1.01,8.8,0.01,8,33.483,5.22
07/19/2019,10.78,1.48,16,0,14.3,33.564,4.36
07/20/2019,10.54,1.64,19,0,16.4,33.62,3.99
07/17/2019,10.23,1.8,22.1,0.04,18.6,33.668,3.77
07/16/2019,9.88,2,26.4,0.1,21.1,33.749,3.5
07/15/2019,9.55,2.31,34.5,0.01,23.9,33.914,2.38
07/12/2019,18.29,0.2,2,0,0,33.5,5.71
07/11/2019,18.29,0.2,2,0,0,33.493,5.93
07/13/2019,18.29,0.2,2,0,0,33.49,6.02
07/14/2019,17.48,0.24,2.3,0,0,33.473,6.07
11/18/2019,16.03,0.31,2.9,0,0,33.456,6.13
11/17/2019,13.41,0.49,3.9,0.08,0.6,33.443,5.9
11/16/2019,11.71,0.76,6.5,0.03,6.2,33.476,5.32
11/15/2019,10.73,1.31,16.5,0.01,14.6,33.588,4.27
11/14/2019,10.43,1.58,22,0.03,18,33.67,3.76
11/13/2019,10.29,1.78,25.7,0.02,20.2,33.708,3.34
11/10/2019,10.17,2.03,30.3,0.01,22.4,33.777,2.78
11/11/2019,9.37,2.39,40.2,0.06,25.8,33.918,2.06
11/12/2019,18.28,0.16,1,0.03,0,33.54,5.52
11/09/2019,18.28,0.16,1,0.03,0,33.54,5.52
11/08/2019,18.18,0.13,1.7,0.01,0,33.54,5.55
11/07/2019,18.15,0.13,2,0,0,33.54,5.57
11/05/2019,16.22,0.17,2.5,0,0.4,33.526,5.67
11/04/2019,13.56,0.28,3.7,0.01,0.9,33.511,5.79
11/06/2019,12.14,0.7,10.6,0.04,7.5,33.499,4.65
